,Cm,Ch,Bm,Bh,T,sR,sG,sB
mean,0.16614285714285712,0.11460000000000001,0.5,0.73,0.13249999999999998,149.82226811926228,96.89660566716371,83.27825817348
min,0.002,0.003,0.0,0.6,0.01,34.29579869775373,28.836222321928886,21.30551579325372
max,0.5,0.32,1.0,0.85,0.25,254.51740392189075,215.46253463905484,194.93227863361992
var,0.029343584939549628,0.013529413109319507,0.12500714326532944,0.008600491456653928,0.008074767109708527,2934.434219614715,2185.257899534317,1853.5112854622855
std,0.1712996933434197,0.11631600538756266,0.3535634925516624,0.09273883467379741,0.08985970793246842,54.17041830754785,46.74674212749287,43.05242484996967
