Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.013,0.003,0.01,0.8,0.25,240,192,160,81.15941652727895,12.79973047408306,22.65148408979176
0.013,0.017,0.01,0.6,0.01,223,155,129,69.9748428755445,22.30674199181182,23.840965427468362
0.013,0.017,0.01,0.6,0.07,224,164,135,72.32555217640382,18.528546521471455,23.76629575241156
0.013,0.017,0.01,0.6,0.13,224,167,138,73.10049345696417,17.26082936300699,23.18948870560298
0.013,0.017,0.01,0.6,0.19,225,167,143,73.30218214593746,18.237521224738597,20.767012727591116
0.013,0.017,0.01,0.6,0.25,223,163,140,72.07699209181254,19.250708773821568,20.687857263176546
0.013,0.017,0.01,0.7,0.01,225,156,130,70.45121040380661,22.663476727992183,23.975106245780964
0.013,0.017,0.01,0.7,0.07,227,161,138,71.99629098453535,21.650548234745216,21.73930739084873
0.013,0.017,0.01,0.7,0.13,225,164,139,72.5086174384512,19.3770820894697,21.857928488812604
0.013,0.017,0.01,0.7,0.19,227,164,147,72.88283996899868,21.10086674823436,18.041034647102382
0.013,0.017,0.01,0.7,0.25,225,164,139,72.5086174384512,19.3770820894697,21.857928488812604
0.013,0.017,0.01,0.8,0.01,226,157,132,70.83408662296954,22.735951972704726,23.418516843808334
0.013,0.017,0.01,0.8,0.07,228,162,139,72.35970426798305,21.617769787998007,21.707590244562567
0.013,0.017,0.01,0.8,0.13,225,166,140,73.00453315643834,18.420368211815475,21.99071916517501
0.013,0.017,0.01,0.8,0.19,225,164,148,72.6902545639957,20.454287033859096,17.194091800941603
0.013,0.017,0.01,0.8,0.25,226,164,144,72.7145143692627,20.353633908888668,19.431036957218662
0.013,0.059,0.01,0.6,0.01,195,105,94,54.56633393479174,34.659893814828145,22.243747941623237
0.013,0.059,0.01,0.6,0.07,200,126,117,60.32352215159975,27.653829376954985,16.945688525925572
0.013,0.059,0.01,0.6,0.13,203,130,124,61.75378055608333,27.44847956698471,14.997450680276113
0.013,0.059,0.01,0.6,0.19,201,137,127,63.21009077600293,23.208588579153922,15.28632356283335
0.013,0.059,0.01,0.6,0.25,202,142,130,64.57388145146408,21.230167943474044,15.510217620460164
0.013,0.059,0.01,0.7,0.01,194,110,104,55.70477054333007,32.574413456102235,17.963139395699223
0.013,0.059,0.01,0.7,0.07,201,124,116,59.97209786760921,29.0178520552124,17.052088519992203
0.013,0.059,0.01,0.7,0.13,202,132,122,62.051447568554664,25.73782885693521,16.525982517289094
0.013,0.059,0.01,0.7,0.19,204,135,129,63.13468644148773,25.711350658895014,14.103788288541086
0.013,0.059,0.01,0.7,0.25,204,146,127,65.6908316414967,19.463527976773754,18.765440546861043
0.013,0.059,0.01,0.8,0.01,199,107,94,55.547541022615334,35.15145077804682,23.64468380196836
0.013,0.059,0.01,0.8,0.07,205,123,117,60.27344524189377,31.214349900777815,16.97579611812938
0.013,0.059,0.01,0.8,0.13,203,128,124,61.297652298480955,28.53398948073327,14.36292357182014
0.013,0.059,0.01,0.8,0.19,204,137,129,63.60000142795883,24.62113089092055,14.752612349457506
0.013,0.059,0.01,0.8,0.25,209,141,128,65.09089005432925,24.271961102727946,17.470545849452446
0.013,0.15,0.01,0.6,0.01,165,79,86,44.606969840378696,36.120438009906216,12.770661276446793
0.013,0.15,0.01,0.6,0.07,167,111,107,52.55865860301259,21.716542753299485,11.329093075162078
0.013,0.15,0.01,0.6,0.13,174,109,120,53.26650219028795,27.312936541619425,4.8113934607898035
0.013,0.15,0.01,0.6,0.19,178,131,120,59.02276542517404,16.550275120183976,13.037178815291671
