Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.02,0.01,0.65,0.125,232,170,153,75.10255412218386,20.732559586278786,17.88242401627025
0.002,0.02,0.01,0.65,0.13,234,170,158,75.51610735509082,21.83280315316871,15.764834677035665
0.002,0.02,0.01,0.65,0.135,233,171,154,75.4345707520498,20.572239799205082,17.721244096125034
0.002,0.02,0.01,0.75,0.115,231,167,149,74.22150214755558,21.466058992692105,18.430109800670436
0.002,0.02,0.01,0.75,0.12,230,166,149,73.9835841649651,21.186264203034877,18.286711951322566
0.002,0.02,0.01,0.75,0.125,231,169,155,74.79329308252198,21.2423263492294,15.951773961879478
0.002,0.02,0.01,0.75,0.13,231,171,156,75.35948075676919,19.649969313450587,16.628565616569936
0.002,0.02,0.01,0.75,0.135,230,171,159,75.17562207640866,20.157642987497226,14.426510261567827
0.002,0.02,0.01,0.8,0.115,233,168,156,74.76999111612535,22.459898085398223,15.850660147777539
0.002,0.02,0.01,0.8,0.12,233,167,151,74.61073431398684,22.34088771063325,17.98099192656921
0.002,0.02,0.01,0.8,0.125,233,168,154,74.85367021244048,21.917759296377348,16.905541422568927
0.002,0.02,0.01,0.8,0.13,233,170,154,75.225087784451,20.926148359941223,17.190396457696487
0.002,0.02,0.01,0.8,0.135,234,170,156,75.3614195701401,21.632513316845458,16.286786780859465
0.002,0.02,0.01,0.85,0.115,235,169,150,75.14616446262835,21.68579759937167,19.187626525376423
0.002,0.02,0.01,0.85,0.12,234,168,151,74.71473369537168,22.2760724332578,18.198827267081818
0.002,0.02,0.01,0.85,0.125,233,169,154,75.05962614540388,21.56612705240468,16.86081151446941
0.002,0.02,0.01,0.85,0.13,233,170,156,75.43021587668075,21.10502438996337,16.620392295413854
0.002,0.02,0.01,0.85,0.135,232,170,155,75.13653197900891,21.117392009251834,16.4688607723815
0.002,0.07,0.01,0.6,0.115,201,136,128,63.13939472724965,24.261224525016665,14.360095951049011
0.002,0.07,0.01,0.6,0.12,198,135,135,62.639037247983254,24.205863172563124,9.487469588178076
0.002,0.07,0.01,0.6,0.125,200,140,133,64.18693441935764,21.97428279545166,12.852550706245868
